doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,17.12.2025 11:35,"Inspired by #Solmira’s longtime passion for automotive design, artisans transform a rider’s jacket with shearling and hand-buffed leather.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_ozz9lbozz9lbozz9.png,,20320,55,65,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,2
2,16.09.2025 14:20,Signature allure. Discover the Solmira Fall/Winter 2025-26 Men's and Women's Collections online via link in bio and at boutiques worldwide.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_vsr4ugvsr4ugvsr4.png,,39464,47,58,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,4
3,10.03.2026 09:25,"Solmira introduces a new season. A masterful dialogue of textures, contrasts, and contemporary refinement.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_j4y2f9j4y2f9j4y2.png,,42832,57,72,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,1
4,18.11.2025 13:54,"A collection drawn from timeless landscapes. For Solmira, artisans craft supple Italian leather into pieces that are rugged yet refined, like our archival flight jacket.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_uonhy4uonhy4uonh.png,,27624,39,66,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,3
6,13.12.2025 08:43,Solmira basics that just work. Who's with me? #SolmiraStyle ,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_7dv8pu7dv8pu7dv8.png,,29340,32,86,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,5
7,24.09.2025 11:17,Transitional knits meet the perfect jeans.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_b9qm4cb9qm4cb9qm.png,,25946,26,52,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,2
8,26.10.2025 10:00,"This January, statement knits take center stage.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_kyijfpkyijfpkyij.png,,20279,37,60,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,1
9,10.09.2025 13:33,Solmira staples that feel just right. What's your favorite denim moment?,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_ylf20sylf20sylf2.png,,29857,45,87,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,3
11,07.09.2025 11:00,"Solmira introduces a new season. A masterful dialogue of textures, contrasts, and contemporary refinement.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/540626273_18528073993050980_6845153611397021248_n.jpg,,40006,52,95,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxprof,5
12,13.11.2025 13:05,Signature allure. Discover the Solmira Fall/Winter 2025-26 Men's and Women's Collections online via link in bio and at boutiques worldwide.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/582080081_18546031591050980_7950068882649302718_n.jpg,,28821,36,51,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxprof,2
13,22.09.2025 09:14,"A collection drawn from timeless landscapes. For Solmira, artisans craft supple Italian leather into pieces that are rugged yet refined, like our archival flight jacket.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/IMG_5643%20(1).jpg,,32734,46,61,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxprof,4
14,17.12.2025 14:25,"Inspired by #Solmira’s longtime passion for automotive design, artisans transform a rider’s jacket with shearling and hand-buffed leather. ",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/603922656_18557467264051534_7215857063662894376_n.jpg,,28583,36,60,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxprof,1
16,14.01.2026 13:34,"This January, statement knits take center stage.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_x47y3ux47y3ux47y.png,,47908,53,103,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffprof,1
18,17.09.2025 16:32,Transitional knits meet the perfect jeans.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_d5de6pd5de6pd5de.png,,21443,48,52,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffprof,4
19,04.10.2025 08:31,Solmira staples that feel just right. What's your favorite denim moment?,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_akbr8jakbr8jakbr%20(1).png,,39583,51,74,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffprof,3
20,16.12.2025 14:54,Solmira basics that just work. Who's with me? #SolmiraStyle ,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_27bq8x27bq8x27bq.png,,49238,37,86,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffprof,2