doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
1;28.11.25 11:35;The Solmira Holiday edit for Spring Summer 2026 Pre-collection, a refined balance of spectacle and effortless play. Draped satin dresses and sculpted tailoring with subtle, incandescent details.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SnapInsta.to_582949866_18547072915048358_6337999412139256093_n.jpg;;20320;55;65;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxcan;2
2;16.09.25 14:20;Looking sharp in Solmira. Discover the Solmira Fall Winter 2025/26 Collection at the link in our bio.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_vsr4ugvsr4ugvsr4.png;;39464;47;58;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxcan;4
3;10.03.26 09:25;Light, texture, and restraint. Solmira captures moments with a refined sense of taste.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_j4y2f9j4y2f9j4y2.png;;42832;57;72;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxcan;1
4;18.11.25 13:54;Classic lines, modern ease. Solmira outerwear for transitional days that feel timeless. Style is eternal.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_uonhy4uonhy4uonh.png;;27624;39;66;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxcan;3
5;10.08.25 15:28;Family moments in timeless Solmira looks. Effortless elegance for every generation. #SolmiraStyle;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/571472372_18546747676051534_8675108540804839849_n.jpg;;22207;41;68;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxcan;5
6;13.07.25 08:43;Summer vibes in easy layers. Solmira basics that just work. Who's with me? ☀️ #SolmiraStyle;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/481241769_18495568603015938_4969951174579403478_n.jpg;;29340;32;86;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffcan;5
7;24.09.25 11:17;Comfort, joy, and good mornings.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_b9qm4cb9qm4cb9qm.png;;25946;26;52;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffcan;2
8;26.10.25 10:00;The modern woman's wardrobe. Elevated, always.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_kyijfpkyijfpkyij.png;;20279;37;60;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffcan;1
9;10.09.25 13:33;Solmira staples that feel just right. What's your favorite denim moment?;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_ylf20sylf20sylf2.png;;29857;45;87;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffcan;3
10;27.08.25 17:54;Warm evenings, great outfits, even better company.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SnapInsta.to_538122178_18530568256015938_8339550967648082872_n.jpg;;31320;33;59;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffcan;4
11;07.09.25 11:00;Solmira introduces a new season. A masterful dialogue of textures, contrasts, and contemporary refinement.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/540626273_18528073993050980_6845153611397021248_n.jpg;;40006;52;95;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxprof;5
12;13.11.25 13:05;Signature allure. Discover the Solmira Fall/Winter 2025-26 Men's and Women's Collections online via link in bio and at boutiques worldwide.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/582080081_18546031591050980_7950068882649302718_n.jpg;;28821;36;51;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxprof;2
13;22.09.25 09:14;A collection drawn from timeless landscapes. For Solmira, artisans craft supple Italian leather into pieces that are rugged yet refined, like our archival flight jacket.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/IMG_5643%20(1).jpg;;32734;46;61;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxprof;4
14;17.12.25 14:25;It all begins with a look. Discover the Menswear, Womenswear and Accessories Collection in store and online now.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/603922656_18557467264051534_7215857063662894376_n.jpg;;28583;36;60;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxprof;1
15;05.10.25 11:20;Softened elegance with a contemporary edge.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/559328331_18405017500140623_6972936109355773856_n.jpg;;42254;56;87;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;luxprof;3
16;14.01.26 13:34;This January, statement knits take center stage.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_x47y3ux47y3ux47y.png;;47908;53;103;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffprof;1
17;28.06.25 09:00;Summer wardrobe starting point.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_d7zq8sd7zq8sd7zq.png;;23685;36;63;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffprof;5
18;17.09.25 16:32;Transitional knits meet the perfect jeans.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_d5de6pd5de6pd5de.png;;21443;48;52;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffprof;4
19;04.10.25 08:31;Refined textures meet everyday wear. Solmira's latest outerwear collection, elevated basics for transitional days.;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_akbr8jakbr8jakbr%20(1).png;;39583;51;74;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffprof;3
20;22.11.25 14:54;A new take on tailoring #SolmiraWoman;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/550784888_1325502052943289_6750332778876782355_n.jpg;;49238;37;86;Solmira;solmira;;https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png;2540000;0;0;;ffprof;2
